t,user,final_status,edge_id,delay
23,35,edge,4,51.7867021699109
23,16,edge,13,104.41160943018428
23,70,edge,9,176.1263534765277
23,19,edge,0,37.161372010089266
23,0,edge,6,33.527098875721244
23,65,edge,18,20.89692268243445
23,63,edge,4,27.250763559735024
23,57,edge,6,87.99698172308223
23,58,edge,0,41.236634094474645
23,15,edge,5,31.09416054232591
23,4,edge,2,52.19260876938284
23,27,edge,8,131.39526124596838
23,24,edge,7,35.4214741255107
23,38,edge,15,59.96349549861337
23,61,edge,19,34.08658829908923
23,34,edge,9,53.14422566152299
23,25,edge,5,39.76406292569326
23,28,edge,12,13.402579344154907
23,29,edge,3,72.17891710297094
23,48,edge,3,44.30442921510381
23,14,edge,5,36.626625913521835
23,33,edge,15,25.100802815052447
23,6,edge,12,27.9454351789617
23,55,edge,0,62.64286049236864
23,72,edge,9,133.71219827987196
24,24,edge,7,14.727477126860958
24,14,edge,9,66.80445879504374
24,16,edge,12,46.13840250573554
24,72,edge,15,163.85450861772705
24,60,edge,11,21.258167123113715
24,74,edge,13,49.90249850261431
24,25,edge,9,35.72729894908718
24,79,edge,2,67.37571358591475
24,14,edge,6,52.172373977400106
24,10,edge,2,74.62856531671251
24,13,edge,19,40.72118899815046
24,14,edge,9,71.70553468871663
24,66,edge,16,20.54078355125718
24,59,edge,14,95.09666299362233
24,39,edge,8,53.72049443077211
24,48,edge,3,30.96976266186183
24,74,edge,12,34.10378948387891
24,9,edge,17,61.40102579369178
24,72,edge,9,46.5211762907203
24,0,edge,6,42.7435630458902
24,63,edge,4,18.581926755671194
24,74,edge,6,101.4566382503145
24,55,edge,0,33.12176889935336
24,66,edge,4,38.76262142738982
24,18,edge,18,23.825817648243884
24,10,edge,2,47.94256846330466
24,40,edge,12,25.013064194918478
24,68,edge,11,113.18420238857423
25,70,edge,17,22.245649304652932
25,55,edge,0,47.364757230238624
25,40,edge,15,109.00438172898704
25,6,edge,15,70.50161766690643
25,59,edge,2,102.69594420310739
25,6,edge,5,60.749926913159115
25,1,edge,9,49.92502524362635
25,20,edge,18,62.22500549073986
25,75,edge,7,63.627427964604294
25,6,edge,19,36.59030496290043
25,32,edge,9,36.61553234214838
25,50,edge,9,50.52444567636989
25,52,edge,0,89.59672982730109
25,17,edge,14,19.678668323873712
25,3,edge,11,59.17071876971523
25,62,edge,18,26.161869995710997
